,,,c_gini,c_ploidy
SRR5964097,,,0.1862,2.8
SRR5964098,,,0.098,2
SRR5964099,,,0.134,1.9
SRR5964100,,,0.1454,3.9
SRR5964101,,,0.1008,2
SRR5964102,,,0.1332,2
SRR5964103,,,0.1046,1.95
SRR5964104,,,0.152,1.9
SRR5964105,,,0.1536,3.15
SRR5964106,,,0.1464,4.8
SRR5964124,,,0.259,1.8
SRR5964125,,,0.1316,1.85
SRR5964126,,,0.094,2
SRR5964127,,,0.2718,1.8
SRR5964133,,,0.304,4.45
SRR5964135,,,0.2348,1.8
SRR5964136,,,0.2592,1.75
SRR5964141,,,0.2826,1.65
SRR5964159,,,0.2626,1.8
SRR5964162,,,0.085,2
SRR5964163,,,0.1858,1.9
SRR5964164,,,0.0886,2
SRR5964165,,,0.2398,3.45
SRR5964166,,,0.1248,1.95
SRR5964167,,,0.2662,1.7
SRR5964168,,,0.1122,1.95
SRR5964169,,,0.2102,4.2
SRR5964170,,,0.228,1.8
SRR5964171,,,0.2472,1.65
SRR5964175,,,0.0928,2
SRR5964177,,,0.2638,1.8
SRR5964178,,,0.1264,5.2
SRR5964179,,,0.1768,1.9
SRR5964191,,,0.176,4.55
SRR5964192,,,0.1364,1.95
SRR5964193,,,0.1254,1.95
SRR5964194,,,0.1672,2.55
SRR5964196,,,0.0552,2
SRR5964197,,,0.175,2.45
SRR5964198,,,0.1378,1.95
SRR5964202,,,0.2574,1.65
SRR5964203,,,0.0934,2
SRR5964204,,,0.2586,1.75
SRR5964206,,,0.0822,2
SRR5964207,,,0.2322,3.55
SRR5964208,,,0.2882,1.65
SRR5964209,,,0.2372,3.55
SRR5964210,,,0.1402,1.8
SRR5964213,,,0.1068,1.95
SRR5964214,,,0.277,1.7
SRR5964216,,,0.231,1.8
SRR5964217,,,0.1788,2.8
SRR5964220,,,0.2764,1.8
SRR5964263,,,0.2204,1.65
SRR5964264,,,0.2414,1.7
SRR5964265,,,0.2516,1.75
SRR5964266,,,0.178,3.05
SRR5964267,,,0.2762,1.75
SRR5964268,,,0.2538,1.8
SRR5964298,,,0.252,1.7
SRR5964301,,,0.268,1.8
SRR5964312,,,0.2676,1.8
SRR5964313,,,0.1754,2.85
SRR5964314,,,0.13,1.95
SRR5964315,,,0.139,1.9
SRR5964316,,,0.1788,2.9
SRR5964317,,,0.1616,2.55
SRR5964318,,,0.2398,4.25
SRR5964319,,,0.103,2
SRR5964320,,,0.1572,1.8
SRR5964321,,,0.172,4.2
SRR5964322,,,0.1818,5
SRR5964344,,,0.2624,1.8
SRR5964345,,,0.1372,3.65
SRR5964346,,,0.1062,1.95
SRR5964347,,,0.1368,3.7
SRR5964348,,,0.1834,5.05
SRR5964349,,,0.1638,5.15
SRR5964350,,,0.1678,3.15
SRR5964351,,,0.141,2.05
SRR5964352,,,0.1756,1.85
SRR5964353,,,0.1404,1.85
SRR5964354,,,0.1,2
SRR5964385,,,0.1218,2.15
SRR5964386,,,0.1724,3.7
SRR5964387,,,0.1494,1.8
SRR5964388,,,0.1662,3.7
SRR5964389,,,0.1206,1.95
SRR5964390,,,0.2784,3.2
SRR5964391,,,0.1516,1.75
SRR5964392,,,0.1126,2
SRR5964394,,,0.1608,3.15
SRR5964395,,,0.1552,3.8
