cell_id,group,cluster,c_gini
SRR054626,A2,7,0.231
SRR054632,A2,7,0.2342
SRR054633,A2,7,0.2236
SRR054634,A2,7,0.2422
SRR054607,A1,6,0.2022
SRR054604,A1,5,0.2276
SRR054592,A1,4,0.2346
SRR054594,A1,4,0.2342
SRR054596,A1,4,0.2392
SRR054597,A1,4,0.2368
SRR054598,A1,4,0.2326
SRR054600,A1,4,0.2336
SRR054601,A1,4,0.2394
SRR054602,A1,4,0.2346
SRR054603,A1,4,0.2314
SRR054605,A1,4,0.229
SRR054606,A1,4,0.2236
SRR054608,A1,4,0.2352
SRR054609,A1,4,0.2436
SRR054610,A1,4,0.2152
SRR054611,A1,4,0.2456
SRR054612,A1,4,0.239
SRR054613,A1,4,0.2156
SRR054614,A1,4,0.2096
SRR054615,A1,4,0.2236
SRR054616,A1,4,0.2232
SRR054618,A1,4,0.222
SRR054620,A1,4,0.2154
SRR054622,A1,4,0.23
SRR053676,H,3,0.251
SRR053677,H,3,0.2354
SRR053678,H,3,0.2476
SRR053679,H,3,0.2492
SRR053680,H,3,0.2498
SRR053681,H,3,0.2504
SRR054213,H,3,0.2454
SRR054565,H,3,0.2658
SRR054566,H,3,0.2326
SRR054567,H,3,0.25
SRR054568,H,3,0.2374
SRR054569,H,3,0.2318
SRR054570,H,3,0.2262
SRR054571,H,3,0.2384
SRR054572,H,3,0.2604
SRR054573,H,3,0.2336
SRR054574,H,3,0.2562
SRR054575,H,3,0.2426
SRR054576,H,3,0.2336
SRR054577,H,3,0.2476
SRR054578,H,3,0.2454
SRR089401,H,3,0.2312
SRR089402,H,3,0.2528
SRR089403,H,3,0.2398
SRR053671,A1,2,0.1842
SRR052047,D,1,0.0924
SRR052148,D,1,0.0914
SRR053437,D,1,0.0942
SRR053600,D,1,0.127
SRR053602,D,1,0.093
SRR053604,D,1,0.1044
SRR053605,D,1,0.0938
SRR053606,D,1,0.1076
SRR053607,D,1,0.0962
SRR053608,D,1,0.0896
SRR053609,D,1,0.1034
SRR053610,D,1,0.0946
SRR053611,D,1,0.0816
SRR053615,D,1,0.0938
SRR053616,D,1,0.1
SRR053617,D,1,0.0836
SRR053618,D,1,0.0838
SRR053619,D,1,0.0834
SRR053620,D,1,0.0902
SRR053623,D,1,0.0826
SRR053624,D,1,0.09
SRR053629,D,1,0.1016
SRR053630,D,1,0.0848
SRR053631,D,1,0.093
SRR053632,D,1,0.0984
SRR053633,D,1,0.0888
SRR053634,D,1,0.0886
SRR053635,D,1,0.0932
SRR053636,D,1,0.0912
SRR053637,D,1,0.0926
SRR053638,D,1,0.0914
SRR053639,D,1,0.1056
SRR053666,D,1,0.11
SRR053667,D,1,0.1084
SRR053668,D,1,0.162
SRR053669,D,1,0.1032
SRR053670,D,1,0.1526
SRR053672,D,1,0.1466
SRR053673,D,1,0.1354
SRR053674,D,1,0.1688
SRR053675,D,1,0.1162
SRR089377,D,1,0.0824
SRR089378,D,1,0.0858
SRR089379,D,1,0.0862
SRR089397,D,1,0.0756
